#1
double profiles(8760,3)
2865600.0 0.000000 0.180000
2869200.0 0.000000 0.280000
2872800.0 0.000000 0.400000
2876400.0 0.000000 0.450000
2880000.0 0.086674 0.500000
2883600.0 0.277047 0.550000
2887200.0 0.439055 0.580000
2890800.0 0.554683 0.600000
2894400.0 0.620103 0.580000
2898000.0 0.634974 0.550000
2901600.0 0.600162 0.520000
2905200.0 0.517009 0.550000
2908800.0 0.387826 0.680000
2912400.0 0.218578 0.880000
2916000.0 0.038793 1.000000
2919600.0 0.000000 0.950000
2923200.0 0.000000 0.750000
2926800.0 0.000000 0.520000
2930400.0 0.000000 0.350000
2934000.0 0.000000 0.260000
2937600.0 0.000000 0.220000
2941200.0 0.000000 0.180000
2944800.0 0.000000 0.160000
2948400.0 0.000000 0.160000
2952000.0 0.000000 0.180000
2955600.0 0.000000 0.280000
2959200.0 0.000000 0.400000
2962800.0 0.000000 0.450000
2966400.0 0.087050 0.500000
2970000.0 0.277425 0.550000
2973600.0 0.439534 0.580000
2977200.0 0.555294 0.600000
2980800.0 0.620835 0.580000
2984400.0 0.635801 0.550000
2988000.0 0.601055 0.520000
2991600.0 0.517943 0.550000
2995200.0 0.388787 0.680000
2998800.0 0.219579 0.880000
3002400.0 0.039633 1.000000
3006000.0 0.000000 0.950000
3009600.0 0.000000 0.750000
3013200.0 0.000000 0.520000
3016800.0 0.000000 0.350000
3020400.0 0.000000 0.260000
3024000.0 0.000000 0.220000
3027600.0 0.000000 0.180000
3031200.0 0.000000 0.160000
3034800.0 0.000000 0.160000
3038400.0 0.000000 0.180000
3042000.0 0.000000 0.280000
3045600.0 0.000000 0.400000
3049200.0 0.000000 0.450000
3052800.0 0.087475 0.500000
3056400.0 0.277846 0.550000
3060000.0 0.440045 0.580000
3063600.0 0.555924 0.600000
3067200.0 0.621574 0.580000
3070800.0 0.636623 0.550000
3074400.0 0.601932 0.520000
3078000.0 0.518851 0.550000
3081600.0 0.389715 0.680000
3085200.0 0.220543 0.880000
3088800.0 0.040453 1.000000
3092400.0 0.000000 0.950000
3096000.0 0.000000 0.750000
3099600.0 0.000000 0.520000
3103200.0 0.000000 0.350000
3106800.0 0.000000 0.260000
3110400.0 0.000000 0.220000
3114000.0 0.000000 0.180000
3117600.0 0.000000 0.160000
3121200.0 0.000000 0.160000
3124800.0 0.000000 0.180000
3128400.0 0.000000 0.280000
3132000.0 0.000000 0.400000
3135600.0 0.000000 0.450000
3139200.0 0.087948 0.500000
3142800.0 0.278312 0.550000
3146400.0 0.440586 0.580000
3150000.0 0.556572 0.600000
3153600.0 0.622317 0.580000
3157200.0 0.637438 0.550000
3160800.0 0.602792 0.520000
3164400.0 0.519734 0.550000
3168000.0 0.390609 0.680000
3171600.0 0.221471 0.880000
3175200.0 0.041251 1.000000
3178800.0 0.000000 0.950000
3182400.0 0.000000 0.750000
3186000.0 0.000000 0.520000
3189600.0 0.000000 0.350000
3193200.0 0.000000 0.260000
